rooms,area,price,price_per_meter,check_in,complex,metro,adress,building,floor,metro_public_transport_time,district,district_population,district_avg_salary,description,developer
1.0,3.0,26955588.0,652678.0,IV квартал 2025,Shagal,Технопарк,"г. Москва, ЮАО, ул. Автозаводская, вл. 23","2 очередь, 1 этап, корпус 7",13 из 17,,,,,"Расположен в престижном Даниловском районе и уже сейчас претендует на звание одной из ярчайших точек притяжения.
Масштабный проект выходит за рамки существующих стандартов. Предвосхищает ожидания, предлагая все возможности для комфортной жизни.
Здесь свои правила и ежедневные сценарии.",etalon
3.0,9.0,12484684.0,198485.0,Сдан,Десятка,Котельники,"Московская область, г. Раменское, микрорайон №10",Корпус 7,12 из 16,,,,,"Жилой комплекс в тихом районе подмосковного Раменского был создан для людей, ценящих комфорт и спокойствие.
Поклонники собственных домов оценят зоны таунхаусов с земельными участками, а для любителей квартир здесь предусмотрены уютные многоквартирные дома.
Жилой комплекс Десятка - концепция компактного экологического города. Город без заполонивших его парковок и гаражей. Настоящий город для людей должен быть живым, безопасным, привлекательным, устойчиво развивающимся. Жилой комплекс Десятка возвращает настоящий дружелюбный город его жителям и делает его максимально доступным.",etalon
1.0,37.0,20630977.0,557594.0,II квартал 2028,Shagal,Технопарк,"г. Москва, ЮАО, ул. Автозаводская, вл. 23","3 очередь, 3 этап, корпус 9",12 из 15,,,,,"Расположен в престижном Даниловском районе и уже сейчас претендует на звание одной из ярчайших точек притяжения.
Масштабный проект выходит за рамки существующих стандартов. Предвосхищает ожидания, предлагая все возможности для комфортной жизни.
Здесь свои правила и ежедневные сценарии.",etalon
1.0,7.0,23969437.0,653119.0,IV квартал 2026,Shagal,Технопарк,"г. Москва, ЮАО, ул. Автозаводская, вл. 23","3 очередь, 5 этап, корпус 8",7 из 19,,,,,"Расположен в престижном Даниловском районе и уже сейчас претендует на звание одной из ярчайших точек притяжения.
Масштабный проект выходит за рамки существующих стандартов. Предвосхищает ожидания, предлагая все возможности для комфортной жизни.
Здесь свои правила и ежедневные сценарии.",etalon
1.0,5.0,21851538.0,539545.0,II квартал 2028,Shagal,Технопарк,"г. Москва, ЮАО, ул. Автозаводская, вл. 23","3 очередь, 3 этап, корпус 8",5 из 11,,,,,"Расположен в престижном Даниловском районе и уже сейчас претендует на звание одной из ярчайших точек притяжения.
Масштабный проект выходит за рамки существующих стандартов. Предвосхищает ожидания, предлагая все возможности для комфортной жизни.
Здесь свои правила и ежедневные сценарии.",etalon
2.0,2.0,7169040.0,162196.0,-15%,Десятка,Котельники,"Московская область, г. Раменское, микрорайон №10",Корпус 7,6 из 16,,,,,"Жилой комплекс в тихом районе подмосковного Раменского был создан для людей, ценящих комфорт и спокойствие.
Поклонники собственных домов оценят зоны таунхаусов с земельными участками, а для любителей квартир здесь предусмотрены уютные многоквартирные дома.
Жилой комплекс Десятка - концепция компактного экологического города. Город без заполонивших его парковок и гаражей. Настоящий город для людей должен быть живым, безопасным, привлекательным, устойчиво развивающимся. Жилой комплекс Десятка возвращает настоящий дружелюбный город его жителям и делает его максимально доступным.",etalon
1.0,9.0,20821262.0,549374.0,II квартал 2028,Shagal,Технопарк,"г. Москва, ЮАО, ул. Автозаводская, вл. 23","3 очередь, 2 этап, корпус 2",2 из 5,,,,,"Расположен в престижном Даниловском районе и уже сейчас претендует на звание одной из ярчайших точек притяжения.
Масштабный проект выходит за рамки существующих стандартов. Предвосхищает ожидания, предлагая все возможности для комфортной жизни.
Здесь свои правила и ежедневные сценарии.",etalon
1.0,7.0,19853796.0,572156.0,II квартал 2028,Shagal,Технопарк,"г. Москва, ЮАО, ул. Автозаводская, вл. 23","3 очередь, 3 этап, корпус 11",4 из 5,,,,,"Расположен в престижном Даниловском районе и уже сейчас претендует на звание одной из ярчайших точек притяжения.
Масштабный проект выходит за рамки существующих стандартов. Предвосхищает ожидания, предлагая все возможности для комфортной жизни.
Здесь свои правила и ежедневные сценарии.",etalon
,4.0,21975410.0,699854.0,IV квартал 2025,Shagal,Технопарк,"г. Москва, ЮАО, ул. Автозаводская, вл. 23","2 очередь, 1 этап, корпус 7",12 из 17,,,,,"Расположен в престижном Даниловском районе и уже сейчас претендует на звание одной из ярчайших точек притяжения.
Масштабный проект выходит за рамки существующих стандартов. Предвосхищает ожидания, предлагая все возможности для комфортной жизни.
Здесь свои правила и ежедневные сценарии.",etalon
1.0,42.0,25367994.0,604000.0,II квартал 2028,Sokolinn Park,Бульвар Рокоссовского,"г. Москва, ВАО, Богородское, 3-я Гражданская ул., влд.1",Корпус 2,3 из 22,,,,,"Sokolinn Park — это проект, где природа и комфорт идеально сочетаются. Он расположен в живописном Богородском районе на востоке Москвы, всего в 15 минутах от станции метро «Преображенская площадь». Близость национального парка «Лосиный остров» и знаменитого парка «Сокольники» делает Sokolinn Park привлекательным для тех, кто ценит естественную красоту окружающего мира и активный образ жизни.
Развитая инфраструктура в шаговой доступности обеспечивает удобство и комфорт для жителей комплекса.",etalon
2.0,7.0,8756772.0,205077.0,Сдан,Десятка,Котельники,"Московская область, г. Раменское, микрорайон №10",Корпус 7,14 из 16,,,,,"Жилой комплекс в тихом районе подмосковного Раменского был создан для людей, ценящих комфорт и спокойствие.
Поклонники собственных домов оценят зоны таунхаусов с земельными участками, а для любителей квартир здесь предусмотрены уютные многоквартирные дома.
Жилой комплекс Десятка - концепция компактного экологического города. Город без заполонивших его парковок и гаражей. Настоящий город для людей должен быть живым, безопасным, привлекательным, устойчиво развивающимся. Жилой комплекс Десятка возвращает настоящий дружелюбный город его жителям и делает его максимально доступным.",etalon
1.0,7.0,19041887.0,565042.0,II квартал 2028,Shagal,Технопарк,"г. Москва, ЮАО, ул. Автозаводская, вл. 23","3 очередь, 2 этап, корпус 1",4 из 9,,,,,"Расположен в престижном Даниловском районе и уже сейчас претендует на звание одной из ярчайших точек притяжения.
Масштабный проект выходит за рамки существующих стандартов. Предвосхищает ожидания, предлагая все возможности для комфортной жизни.
Здесь свои правила и ежедневные сценарии.",etalon
2.0,6.0,25828621.0,491039.0,II квартал 2028,Sokolinn Park,Бульвар Рокоссовского,"г. Москва, ВАО, Богородское, 3-я Гражданская ул., влд.1",Корпус 2,8 из 22,,,,,"Sokolinn Park — это проект, где природа и комфорт идеально сочетаются. Он расположен в живописном Богородском районе на востоке Москвы, всего в 15 минутах от станции метро «Преображенская площадь». Близость национального парка «Лосиный остров» и знаменитого парка «Сокольники» делает Sokolinn Park привлекательным для тех, кто ценит естественную красоту окружающего мира и активный образ жизни.
Развитая инфраструктура в шаговой доступности обеспечивает удобство и комфорт для жителей комплекса.",etalon
1.0,4.0,22650570.0,534212.0,II квартал 2028,Shagal,Технопарк,"г. Москва, ЮАО, ул. Автозаводская, вл. 23","3 очередь, 2 этап, корпус 4",2 из 5,,,,,"Расположен в престижном Даниловском районе и уже сейчас претендует на звание одной из ярчайших точек притяжения.
Масштабный проект выходит за рамки существующих стандартов. Предвосхищает ожидания, предлагая все возможности для комфортной жизни.
Здесь свои правила и ежедневные сценарии.",etalon
1.0,3.0,26222414.0,634926.0,IV квартал 2026,Shagal,Технопарк,"г. Москва, ЮАО, ул. Автозаводская, вл. 23","3 очередь, 5 этап, корпус 9",6 из 19,,,,,"Расположен в престижном Даниловском районе и уже сейчас претендует на звание одной из ярчайших точек притяжения.
Масштабный проект выходит за рамки существующих стандартов. Предвосхищает ожидания, предлагая все возможности для комфортной жизни.
Здесь свои правила и ежедневные сценарии.",etalon
