Ссылка,Заголовок,Описание
https://www.ingrad.ru/projects/business/zk-foriver,Foriver,"Квартал находится на своей пешеходной набережной длиной 1 км. Проектом благоустройства набережной предусмотрено создание пешеходной и велосипедной дорожек, зон отдыха на ступенчатом террасировании, центральная и городская площадь с авторской детской площадкой «Маяк»."
https://www.ingrad.ru/projects/business/zk-riversky,Riversky,"Современный облик квартала создан лучшими архитекторами Москвы. Высотные доминанты, уникальная 3D-кладка кирпича разных цветов и фактур, открыточные виды на набережную."
https://www.ingrad.ru/projects/business/injoy,Injoy,Описание не найдено
https://www.ingrad.ru/projects/business/zk-kutuzovgrad,Кутузов Grad II,"Уникальный проект творческого объединения PRIDE. Смещенная геометрия фасадов, выверенные цветовые сочетания, тщательный подбор материалов и планировка корпусов создают облик арт-квартала."
https://www.ingrad.ru/projects/comfort/zk-belyi-grad,Белый Grad,"Акцентные высокие башни-доминанты дарят чудесные виды с высоты птичьего полета. Этажность домов внутри каждого квартала снижается к реке.

Богатая палитра из 19 сочетающихся друг с другом оттенков делает архитектуру всего квартала приятной для глаза — дома выглядят гармонично, но разнообразно.

Авторы градостроительной концепции территории — бюро Semrén & Månsson."
https://www.ingrad.ru/projects/new_moscow/zk-filatov-lug,Филатов луг,"Для четырёх домов первой очереди художник Алексей Ильин создал уникальные акварельные рисунки, посвященные башням Копенгагена, Амстердама, Берлина и Гамбурга.

Фасады домов новой очереди украшают яркие картины участников международного конкурса «АрхиГрафика»."
https://www.ingrad.ru/projects/comfort/mkr-novoe-medvedkovo,Новое Медведково,"Для каждого корпуса выбрана своя цветовая гамма. Объединяет кварталы общая современная архитектурная концепция, используемые при строительстве проверенные технологии и качественные материалы напрямую от производителей."
https://www.ingrad.ru/projects/comfort/zk-odincovo-zapadnaya,Одинград,"Архитектуру для всех кварталов «Одинграда» сделали специалисты бюро Tikkanen. 11 корпусов «Семейного» расположены в форме своеобразной «лодочки», сориентированной по сторонам света таким образом, что обеспечивается максимальная освещенность внутреннего двора."
https://www.ingrad.ru/projects/comfort/mkr-novoe-puskino,Новое Пушкино,Монолитно-кирпичные дома. Архитектура жилого района выдержана в едином стиле с тщательно подобранной цветовой гаммой. В корпусах запроектировано угловое остекление и оконные проёмы увеличенной площади.
https://www.ingrad.ru/projects/business/zk-tophills,TopHills,"Массив основания шести башен на стилобате облицован керамогранитом тёплых тонов, средние этажи — перемежающимися тёмными и светлыми плитами, зона верхних этажей — яркими вертикальными конструкциями."
https://www.ingrad.ru/projects/comfort/zk-milovidnoe,Миловидное,"Два жилых корпуса за счёт многообразия горизонтальных и вертикальных линий фасадов выглядят как многосекционный комплекс. В строительстве использованы клинкер, керамогранит, фасадная штукатурка."
https://www.ingrad.ru/projects/inhaus/sholokhovo,Inhaus Шолохово,"Архитектура домов INHAUS Шолохово вобрала в себя лучшее от уютных европейских пригородов и надёжных скандинавских построек. В загородных коттеджах по проекту Blank Architects можно увидеть обаяние тихих альпийских шале, эргономику голландских домов и строгую датскую геометрию фасадов. При этом дома новых серий органично вписываются в контекст уже построенных таунхаусов загородного квартала.

Характеристики домов: кухня-гостиная, гардеробные, французские балконы, карнизные окна, гостевые с/у, 3D кладка, увеличенное остекление."
https://www.ingrad.ru/projects/inhaus/pestovo,"Резиденции
Пестово","Для строительства домов использованы экологически чистые материалы. Фахверковая технология позволяет сохранять оптимальный климат в коттеджах в течение всего года. По завершении строительства фахверковый дом не дает усадки, что позволяет приступить к чистовой отделке сразу после завершения монтажных работ."
https://www.beregsol.ru/,Заголовок не найден,Описание не найдено
https://land.ingrad.ru/,Заголовок не найден,Описание не найдено
